Geneid	wt_R1	wt_R2	mu_R1	mu_R2
FGRRES_01985	91	73	55	48
FGRRES_01986	246	225	203	194
FGRRES_12048	183	159	110	89
FGRRES_15918	222	245	75	57
FGRRES_01988	1	0	0	0
FGRRES_01989	0	0	1	0
FGRRES_15919	824	665	1243	1155
FGRRES_01991	58	53	47	33
FGRRES_01992	485	480	249	212
FGRRES_01993	170	170	117	90
FGRRES_01994	61	62	101	83
FGRRES_01995	160	126	61	55
FGRRES_12050_1_M	0	1	0	2
FGRRES_01997	29	26	64	75
FGRRES_20064	1	0	2	8
FGRRES_15015_M	133	118	44	42
FGRRES_02000	607	588	559	420
FGRRES_02001	380	406	501	461
FGRRES_02002	1118	1008	760	632
FGRRES_02003	278	252	228	142
FGRRES_12053	25	13	5	4
FGRRES_12054	25	19	61	30
FGRRES_02004	3479	3422	8215	7630
FGRRES_12055	3	5	5	2
FGRRES_12056	2491	2162	3684	3202
FGRRES_12057	206	165	239	178
FGRRES_15920	399	397	1005	979
FGRRES_02007	304	257	61	45
FGRRES_02008	1138	832	790	691
FGRRES_02009	345	273	229	200
FGRRES_02010	1733	1573	1413	1206
FGRRES_02011	1709	1592	958	822
FGRRES_02012	394	359	220	167
FGRRES_02013	94	88	34	28
FGRRES_02014	59531	65645	35788	34604
FGRRES_02015	110	101	71	76
FGRRES_02016	832	732	551	481
FGRRES_02017_M	294	248	406	379
FGRRES_15921	5337	4968	7746	7343
FGRRES_12060	0	1	0	0
FGRRES_12061	52	53	28	14
FGRRES_02018	680	680	315	288
FGRRES_02019	2624	2507	7086	6595
FGRRES_02020	242	232	149	162
FGRRES_02021	431	362	627	597
FGRRES_15059	29	21	20	26
FGRRES_02022	12739	12552	17531	15568
FGRRES_02023	14	9	10	17
FGRRES_02024	2879	3212	1666	1647
FGRRES_02025	9865	11861	2760	3154
FGRRES_15060	18	16	19	21
FGRRES_02026	10415	9304	9706	8564
FGRRES_02027	1601	1452	1550	1473
FGRRES_02028	2498	2354	1645	1433
FGRRES_02029	1571	1471	2582	2301
FGRRES_02030	1945	2114	1036	921
FGRRES_02031	233	193	101	89
FGRRES_02032_M	2708	2437	1669	1337
FGRRES_02033	10	4	3	4
FGRRES_02034	7	8	722	667
FGRRES_12062	0	1	16	3
FGRRES_02035	36	41	16	9
FGRRES_02036	1	2	1	0
FGRRES_02037	88	63	63	63
FGRRES_02038	8	12	130	108
FGRRES_02039	38	34	33	18
FGRRES_02040	467	416	164	114
FGRRES_02041	558	465	392	267
FGRRES_02042	258	243	95	85
FGRRES_20065	0	0	0	0
FGRRES_02043	2253	2216	1661	1535
FGRRES_02044	1246	1060	946	802
FGRRES_02045	45	22	17	17
FGRRES_15922	250	241	107	115
FGRRES_02047	2490	2322	1581	1411
FGRRES_02048	1335	1261	906	718
FGRRES_02049	1786	1641	1957	1764
FGRRES_02050	31	27	48	27
FGRRES_02051	982	1022	696	622
FGRRES_02052	8271	8385	14975	15250
FGRRES_02053	379	429	291	233
FGRRES_02054	709	643	485	404
FGRRES_15923	465	452	362	386
FGRRES_15924	661	718	272	265
FGRRES_12063	35	32	16	13
FGRRES_12064	103	104	41	36
FGRRES_02058	94	70	61	42
FGRRES_02059	29	30	31	19
FGRRES_20066	2	0	1	0
FGRRES_02060	263	287	141	133
FGRRES_02061	3364	2661	7071	5796
FGRRES_15925	132	111	113	94
FGRRES_02063	212	223	159	171
FGRRES_02064	70	84	67	83
FGRRES_02065	9	5	6	6
FGRRES_02066	168	144	100	76
FGRRES_02067_M	130	132	34	34
FGRRES_15926	233	207	144	125
FGRRES_12065	13	17	12	14
FGRRES_15061	0	0	0	0
FGRRES_02069	197	164	90	76
FGRRES_02070	955	1026	1316	1275
FGRRES_02071	1683	1464	2323	2005
FGRRES_02072	252	233	195	178
FGRRES_02073	1262	1092	596	576
FGRRES_02074	1088	895	870	792
FGRRES_02075	139	151	381	357
FGRRES_02076	0	0	8	5
FGRRES_02077	2690	2445	2860	2598
FGRRES_02078	112	76	71	64
FGRRES_02079	6945	6828	4856	4289
FGRRES_15927	2161	2191	1725	1634
FGRRES_20067	154	124	103	70
FGRRES_15928	722	603	373	329
FGRRES_15929	66	69	37	44
FGRRES_02082	1477	1411	565	489
FGRRES_02083	8038	8390	7264	7689
FGRRES_02084	95	97	174	155
FGRRES_15138	16	19	7	29
FGRRES_02085	22382	22676	50998	47198
FGRRES_02086	1	2	0	2
FGRRES_02087	361	395	52	44
FGRRES_15930	300	220	207	174
FGRRES_02089	1396	1131	1193	965
FGRRES_02090	941	757	551	435
FGRRES_02091	606	604	477	390
FGRRES_02092	1177	1116	703	551
FGRRES_02093	48	41	10	12
FGRRES_17610	2415	2467	2188	2139
FGRRES_02095	4586	4321	3412	3050
FGRRES_02096	565	569	618	535
FGRRES_02097	3056	3328	3142	3102
FGRRES_02098	12107	11497	27425	25519
FGRRES_02099	6847	6897	3609	2978
FGRRES_02100	2547	2179	2236	1567
FGRRES_02101	979	959	911	834
FGRRES_02102	92	103	330	317
FGRRES_02103	161	148	108	85
FGRRES_02104	102	110	119	104
FGRRES_02105	446	449	371	291
FGRRES_02106_M	141	138	50	39
FGRRES_12066	5148	5523	4995	4156
FGRRES_12067	483	471	200	173
FGRRES_15139	15	8	9	4
FGRRES_02108_M	18	12	13	11
FGRRES_02109	1219	1195	2213	2193
FGRRES_15931	227	180	80	97
FGRRES_02111	7	6	8	12
FGRRES_02112	38	17	20	21
FGRRES_15932	130	120	86	78
FGRRES_02114	25	32	20	14
FGRRES_02115	45	53	30	15
FGRRES_15933	15	4	11	9
FGRRES_02117	11	6	2	7
FGRRES_02118	14	15	7	8
FGRRES_02119	344	338	422	388
FGRRES_02120	111	97	142	122
FGRRES_02121	13	13	5	6
FGRRES_12068	1	1	5	1
FGRRES_12069	9	10	7	9
FGRRES_15934	29	21	21	14
FGRRES_02123	11	23	20	30
FGRRES_15935	240	188	602	544
FGRRES_02125	21910	26387	32605	37713
FGRRES_02126	565	503	801	678
FGRRES_02127	3041	3183	5444	5153
FGRRES_02128	221	211	71	52
FGRRES_15936	391	352	122	80
FGRRES_02130	449	318	323	280
FGRRES_02131	131	121	114	116
FGRRES_12071	12	17	5	3
FGRRES_12072	14	11	4	0
FGRRES_12073	1697	1532	583	484
FGRRES_15937	293	275	158	125
FGRRES_15938	4	1	1	1
FGRRES_02135	11	7	4	9
FGRRES_02136	303	271	169	178
FGRRES_02137	801	811	189	167
FGRRES_02138	840	706	58	62
FGRRES_02139	89	67	55	42
FGRRES_02140	27	26	13	16
FGRRES_02141	233	216	99	101
FGRRES_02142	112	87	423	406
FGRRES_02143	102	87	448	400
FGRRES_02144	592	577	795	662
FGRRES_12074	2	0	1	1
FGRRES_02145	1190	1358	1844	1901
FGRRES_02146	118	105	123	109
FGRRES_02147	182	169	146	157
FGRRES_02148	127	136	46	53
FGRRES_15939	15	16	30	27
FGRRES_15940	60	77	61	53
FGRRES_02151	26	28	14	16
FGRRES_15941	22	24	1	4
FGRRES_02152_M	89	68	109	85
FGRRES_20068	22	12	22	21
FGRRES_02153_M	26	24	26	9
FGRRES_02154_M	2	8	0	3
FGRRES_20069	0	0	0	0
FGRRES_02155	10	6	3	9
FGRRES_15942_12076_M	74	51	170	122
FGRRES_15943	890	904	380	330
FGRRES_02158_M	52	37	34	32
FGRRES_02159	9	20	17	6
FGRRES_02160	78	88	74	40
FGRRES_02161	2	3	2	0
FGRRES_02162	256	237	167	144
FGRRES_12077	0	3	7	6
FGRRES_02163	729	814	258	296
FGRRES_02164	431	379	543	392
FGRRES_02165	3	1	5	0
FGRRES_12078	64	45	43	20
FGRRES_12079	4	4	5	4
FGRRES_12080	0	2	2	0
FGRRES_15944	29	32	19	16
FGRRES_02168	1	2	1	1
FGRRES_02169	16	8	2	6
FGRRES_02170	24	8	14	16
FGRRES_02171	331	290	66	64
FGRRES_02172	0	0	5	0
FGRRES_02173	4	3	1	6
FGRRES_15945	29	29	4	16
FGRRES_12081	2	0	1	0
FGRRES_12082	10	3	2	1
FGRRES_02176	0	0	1	0
FGRRES_02177	1	0	2	0
FGRRES_02178_M	43	40	63	39
FGRRES_02179	29	32	26	28
FGRRES_02180_M	7	6	0	0
FGRRES_15140	0	0	0	0
FGRRES_02181	2	3	2	1
FGRRES_12083	0	0	0	0
FGRRES_02182	0	3	3	2
FGRRES_02183	49	38	23	13
FGRRES_02184	17	17	15	16
FGRRES_02185	403	302	110	87
FGRRES_02186_M	426	312	257	194
FGRRES_15946_M	122	97	442	334
FGRRES_15947	17	13	48	37
FGRRES_02189_M	1080	1087	1497	1370
FGRRES_02190	2593	2211	3111	2705
FGRRES_02191	664	602	406	410
FGRRES_02192	919	845	615	467
FGRRES_02193	1447	1358	1270	932
FGRRES_02194	5	6	68	75
FGRRES_02195	60	50	41	25
FGRRES_12084	3	1	4	1
FGRRES_15948	40	42	24	23
FGRRES_12805_6_M	0	0	0	1
FGRRES_15949	0	0	0	0
FGRRES_12087	0	1	0	0
FGRRES_12088	5	5	1	6
FGRRES_15950	6	2	2	9
FGRRES_02198	213	240	273	240
FGRRES_02199	397	399	163	116
FGRRES_15951	57	36	41	34
FGRRES_02201	15	14	60	39
FGRRES_02202	94	110	86	63
FGRRES_02203	44	30	32	23
FGRRES_02204	1350	1326	1113	899
FGRRES_12093	11	13	11	12
FGRRES_12094	20	14	16	10
FGRRES_02206	31	35	66	76
FGRRES_02207	15	23	50	43
FGRRES_02208	4	1	3	0
FGRRES_15952	7	10	2	5
FGRRES_02210	1115	1049	313	268
FGRRES_02211	21	21	21	22
FGRRES_02212	92	76	39	44
FGRRES_02213	19	12	12	6
FGRRES_02214	12	7	8	12
FGRRES_02215	95	91	73	49
FGRRES_02216	3244	3465	3670	3953
FGRRES_02217	181	169	182	154
FGRRES_02218	1	1	1	0
FGRRES_20070	0	0	0	0
FGRRES_12095	26	33	8	11
FGRRES_20071	0	0	0	0
FGRRES_02220	651	599	119	80
FGRRES_02221	620	375	4487	3003
FGRRES_15144	0	0	0	0
FGRRES_12096_7_M	82	90	131	114
FGRRES_02223	9	11	14	11
FGRRES_02224	286	256	184	148
FGRRES_02225	827	622	386	282
FGRRES_15953	675	527	777	719
FGRRES_15954	206	179	444	412
FGRRES_02228	43	23	27	13
FGRRES_15955	166	158	62	57
FGRRES_02230	268	217	145	74
FGRRES_02231	518	523	756	647
FGRRES_02232	1682	1491	884	750
FGRRES_02233	3967	4500	2762	2586
FGRRES_02234	367	356	581	498
FGRRES_02235	60	33	66	60
FGRRES_02236	430	377	285	206
FGRRES_02237	5080	5305	5073	5379
FGRRES_02238	246	283	225	175
FGRRES_15956	252	186	165	141
FGRRES_12100	13	10	26	17
FGRRES_02240	3429	3766	2448	2587
FGRRES_02241	54	39	84	51
FGRRES_20072	15	19	25	13
FGRRES_02242	189	183	370	262
FGRRES_02243	148	111	213	167
FGRRES_12101	0	1	1	1
FGRRES_12102	258	195	381	282
FGRRES_02244	706	685	1245	1185
FGRRES_02245	526	553	528	435
FGRRES_02246	35	15	12	6
FGRRES_02247	755	787	570	473
FGRRES_02248_M	535	534	614	503
FGRRES_02249	313	371	219	198
FGRRES_15957	50	53	49	32
FGRRES_02251	48	30	36	24
FGRRES_12103_M	0	0	0	0
FGRRES_12104	55	57	159	133
FGRRES_02252	116	93	164	130
FGRRES_02253_M	119	107	50	55
FGRRES_02254	11	7	1	3
FGRRES_02255	2	2	5	1
FGRRES_12105	966	847	741	773
FGRRES_15958	5	1	6	3
FGRRES_12107	0	0	0	1
FGRRES_02257	33	22	10	13
FGRRES_15959	50	42	26	23
FGRRES_02259	13	16	7	4
FGRRES_02260	1954	1562	1957	1708
FGRRES_12108	196	187	208	209
FGRRES_12109	113	95	326	309
FGRRES_12110	840	633	9124	7523
FGRRES_02262	447	561	306	252
FGRRES_02263	501	452	823	846
FGRRES_02264	418	356	147	120
FGRRES_12111	227	262	215	189
FGRRES_15960	8974	9148	8651	8483
FGRRES_02266	1	6	6	5
FGRRES_02267	4	11	8	16
FGRRES_02268	80	82	56	35
FGRRES_02269	21	21	8	33
FGRRES_12113	0	0	0	0
FGRRES_02270	36	21	23	18
FGRRES_15961	467	468	218	195
FGRRES_02272	137	104	79	76
FGRRES_02273	140	89	236	187
FGRRES_02274	2	2	9	4
FGRRES_15008	1	4	7	1
FGRRES_02275	49	28	22	10
FGRRES_02276	45	21	8	11
FGRRES_12114	80	49	20	12
FGRRES_15962	134	100	123	86
FGRRES_02278	10	6	19	13
FGRRES_02279	145	129	47	32
FGRRES_02280	23	23	27	19
FGRRES_15963	120	106	120	98
FGRRES_02281	4	4	75	105
FGRRES_02282	34	34	17	10
FGRRES_15964	28	16	2	2
FGRRES_02284	1599	1677	567	525
FGRRES_02285	71	58	101	110
FGRRES_02286	86	63	59	58
FGRRES_02287	2382	2448	1245	1169
FGRRES_02288	1352	1192	941	833
FGRRES_02289	9	6	3	2
FGRRES_02290	9	13	2	6
FGRRES_02291	832	718	25241	23171
FGRRES_15965	25	28	44	42
FGRRES_02293	7	6	1	12
FGRRES_02294	4	3	5	5
FGRRES_15966_M	19	11	11	8
FGRRES_02296	34	25	10	10
FGRRES_02297	24	6	10	4
FGRRES_02298	4	0	4	2
FGRRES_02299	3	1	0	0
FGRRES_02300	1	0	0	3
FGRRES_02301	1	1	3	1
FGRRES_02302	2	1	0	2
FGRRES_15967	3	0	1	0
FGRRES_02304	1	1	3	7
FGRRES_02305	12	14	9	10
FGRRES_02306	1	1	5	4
FGRRES_02307	158	146	137	94
FGRRES_02308	180	203	111	117
FGRRES_02309	20	15	16	6
FGRRES_02310	515	452	539	442
FGRRES_15968	16	12	9	7
FGRRES_02312	22	18	12	11
FGRRES_02313	24	15	17	16
FGRRES_02314	1471	1244	626	487
FGRRES_02315	133	99	205	154
FGRRES_02316	27	23	27	44
FGRRES_02317	2281	2172	2247	1981
FGRRES_02318	13	11	11	5
FGRRES_02319	6	6	3	5
FGRRES_02320	68	70	115	85
FGRRES_02321	154	171	218	161
FGRRES_02322	10467	10480	17899	18112
FGRRES_02323	671	691	813	776
FGRRES_02324	729	653	403	385
FGRRES_02325	210	177	89	62
FGRRES_02326	13	7	1	5
FGRRES_02327	11	12	6	9
FGRRES_02328	2	1	0	0
FGRRES_02329	10	2	9	7
FGRRES_02330	3	3	1	1
FGRRES_02331	0	1	2	0
FGRRES_02332	56	63	79	56
FGRRES_02333_M	39	32	36	30
FGRRES_02334	8	11	17	5
FGRRES_02335	341	404	132	128
FGRRES_02336	30	14	18	20
FGRRES_02337	33	18	20	6
FGRRES_02338	0	0	0	0
FGRRES_02339	327	345	714	700
FGRRES_02340_M	1	0	3	0
FGRRES_02341	4	1	8	2
FGRRES_02342_M	0	0	0	0
FGRRES_02343	2	0	2	2
FGRRES_15969	0	0	0	0
FGRRES_15970	25	22	8	3
FGRRES_02346	146	137	127	90
FGRRES_02347	5	7	3	5
FGRRES_02348_M	4	4	0	2
FGRRES_15971_12118_M	590	559	615	617
FGRRES_02349	37	85	8	17
FGRRES_15972	3	6	2	8
FGRRES_02351	2	3	5	2
FGRRES_15141	897	834	377	313
FGRRES_02352	1925	1984	1329	1268
FGRRES_02353	56	36	85	56
FGRRES_02354	11069	11704	19635	18281
FGRRES_02355	1176	1033	1589	1404
FGRRES_12119	3	1	1	0
FGRRES_12120	1	1	1	0
FGRRES_15973	2	3	1	0
FGRRES_02358	178	157	85	64
FGRRES_02359	0	0	1	0
FGRRES_02360	0	0	1	0
FGRRES_02361_M	0	0	0	0
FGRRES_15974	1	0	2	0
FGRRES_02363	26	16	7	7
FGRRES_02364	199	207	175	138
FGRRES_02365_M	7	5	5	2
FGRRES_12121	7	4	3	3
FGRRES_02366	6	8	2	8
FGRRES_02367	1	1	0	0
FGRRES_02368	140	144	79	76
FGRRES_02369	0	2	0	0
FGRRES_02370	0	0	5	1
FGRRES_02371_2_M	0	0	0	0
FGRRES_02372	1	2	0	0
FGRRES_02373	624	577	408	355
FGRRES_15975	21	18	23	11
FGRRES_02375_M	231	220	274	208
FGRRES_15976	262	206	562	554
FGRRES_02377	3	1	7	8
FGRRES_02378	0	0	1	1
FGRRES_02379	50	60	71	67
FGRRES_02380_M	34	36	57	36
FGRRES_02381	123	133	16	27
FGRRES_02382	0	0	1	1
FGRRES_02383	4	10	7	8
FGRRES_02384	2	1	3	2
FGRRES_02385	7	6	1	0
FGRRES_02386	2	3	0	2
FGRRES_02387	14	18	16	18
FGRRES_15977	9	8	5	9
FGRRES_12123	9	8	31	25
FGRRES_02389_M	11	10	9	2
FGRRES_15142	2	2	2	4
FGRRES_02390	5	3	21	18
FGRRES_15978	1	3	0	3
FGRRES_02392	1024	943	1584	1367
FGRRES_02393	3	2	3	2
FGRRES_02394	32	36	18	18
FGRRES_12124_15979_M	13	12	1	12
FGRRES_15980_M	26	18	17	12
FGRRES_17745	9	6	1	1
FGRRES_15982	14	16	51	33
FGRRES_02398	114	99	131	101
FGRRES_15983	404	287	181	162
FGRRES_02400	3372	3519	1380	1371
FGRRES_12128	0	0	0	0
FGRRES_02401_M	1	3	5	4
FGRRES_12129	91	97	43	37
FGRRES_15984	266	240	431	407
FGRRES_02403	463	397	435	350
FGRRES_12130	0	0	0	0
FGRRES_15985	3	1	2	3
FGRRES_15986	24	19	17	29
FGRRES_20073	1	5	4	2
FGRRES_02406	136	105	90	89
FGRRES_02407	82	62	68	61
FGRRES_02408	0	1	2	0
FGRRES_02409	9	14	11	3
FGRRES_15987	12	18	30	17
FGRRES_15988	66	33	34	28
FGRRES_15989	0	3	3	3
FGRRES_12131	28	22	25	13
FGRRES_12132	143	100	321	303
FGRRES_02414	571	495	322	260
FGRRES_12133_M	1	1	0	0
FGRRES_02415	263	208	236	240
FGRRES_02416	10	6	1	2
FGRRES_15990	9	7	18	15
FGRRES_02418	9	24	20	20
FGRRES_12134	49	29	69	41
FGRRES_02419	99	63	54	62
FGRRES_02420	730	621	1995	1954
FGRRES_02421	89	93	166	154
FGRRES_02422	546	526	1029	1009
FGRRES_02423	93	71	74	84
FGRRES_12135	5	5	5	1
FGRRES_15991	3	2	2	2
FGRRES_15992	11	15	18	13
FGRRES_02426	244	189	208	240
FGRRES_02427	171	143	158	145
FGRRES_02428	178	179	82	82
FGRRES_02429	55	61	131	120
FGRRES_15993	14	15	10	10
FGRRES_15994	231	163	131	118
FGRRES_02432	1303	1354	3009	2544
FGRRES_02433	1904	1933	951	786
FGRRES_02434	1942	1871	1327	1252
FGRRES_15995	153	138	69	53
FGRRES_15996	0	0	0	0
FGRRES_02437	2	5	3	1
FGRRES_02438	564	554	306	283
FGRRES_02439	1122	1178	800	708
FGRRES_02440	386	420	398	320
FGRRES_02441	178	209	87	79
FGRRES_02442	93	88	81	75
FGRRES_02443_M	6	7	5	0
FGRRES_02444	24	32	29	17
FGRRES_15997	902	853	290	286
FGRRES_02446	465	476	205	206
FGRRES_15143	0	0	0	2
FGRRES_02447	45	51	38	41
FGRRES_02448	40	33	19	21
FGRRES_02449	366	345	140	155
FGRRES_15998	100	84	88	65
FGRRES_02451	32	47	22	12
FGRRES_02452	57	44	27	30
FGRRES_12136	8	5	2	1
FGRRES_12137	323	323	347	295
FGRRES_02454	295	335	207	168
FGRRES_02455	787	789	469	364
FGRRES_15999_M	5330	5203	7424	6742
FGRRES_12140	240	192	127	102
FGRRES_12141	88	82	65	85
FGRRES_16000	131	132	66	56
FGRRES_16001	29	29	19	6
FGRRES_02459	31	39	43	32
FGRRES_02460	2603	2813	1880	1800
FGRRES_02461	4171	5157	3305	3218
FGRRES_02462	452	433	248	235
FGRRES_02463	290	271	164	145
FGRRES_02464	1284	1303	7303	6723
FGRRES_02465	41	41	311	304
FGRRES_12142	1535	1590	2310	2088
FGRRES_16002	669	615	653	504
FGRRES_02467	2022	1875	19623	17937
FGRRES_02468_M	39	36	132	111
FGRRES_02469	233	205	323	306
FGRRES_02470	1002	874	663	558
FGRRES_02471	1851	1782	3760	3545
FGRRES_20074	1	1	4	0
FGRRES_12145	47	22	21	17
FGRRES_12146	14	14	4	3
FGRRES_02472	3308	3261	2826	2638
FGRRES_02473	1802	1947	1245	1160
FGRRES_02474	702	794	417	375
FGRRES_16003	1048	1079	668	613
FGRRES_02476	885	791	687	579
FGRRES_02477_M	999	977	1399	1437
FGRRES_02478	913	1008	293	208
FGRRES_02479	1127	802	601	467
FGRRES_16004	459	449	1139	1072
FGRRES_02481	1266	1220	1697	1651
FGRRES_02482	4896	5154	7211	7523
FGRRES_16005	1471	1344	1065	1037
FGRRES_20075	2	2	4	3
FGRRES_02484	534	550	326	274
FGRRES_02485	205	168	367	364
FGRRES_02486	263	282	156	165
FGRRES_02487	32	17	27	25
FGRRES_02488	422	338	266	227
FGRRES_02489	1880	2054	5302	5433
FGRRES_12147	24	23	34	24
FGRRES_12148_M	2	3	3	7
FGRRES_02490	1455	1265	1650	1589
FGRRES_16006_M	4765	4493	8792	8165
FGRRES_02491	274	242	469	402
FGRRES_02492	71	63	33	33
FGRRES_02493	3910	4057	1776	1509
FGRRES_02494	411	372	315	228
FGRRES_02495	3266	3168	907	773
FGRRES_02496	182	162	144	105
FGRRES_02497	2357	1922	1685	1386
FGRRES_02498	4808	4912	4789	4736
FGRRES_02499	294	286	200	208
FGRRES_02500	169	143	128	102
FGRRES_16007	12682	12597	8587	8523
FGRRES_12150_M	6	4	22	16
FGRRES_02502	452	453	590	556
FGRRES_12151_M	1922	1588	2747	2368
FGRRES_02503	2473	2735	1158	1022
FGRRES_02504_M	6554	7432	3482	3209
FGRRES_16008	222	176	158	102
FGRRES_02506	1150	1367	471	408
FGRRES_02507_M	1146	1038	1010	878
FGRRES_02508	483	505	196	191
FGRRES_16009	367	321	152	127
FGRRES_02510	501	448	203	185
FGRRES_02511	1402	1435	429	314
FGRRES_02512	735	606	1051	992
FGRRES_02513	1311	1273	1105	934
FGRRES_15145	9	10	9	3
FGRRES_02514_M	10	4	10	10
FGRRES_12152	8	8	0	0
FGRRES_02515	656	612	745	660
FGRRES_02516	857	771	9720	9366
FGRRES_02517	59	46	146	123
FGRRES_02518_M	2388	2454	1410	1272
FGRRES_02519	1531	1432	1185	965
FGRRES_02520	3598	3418	2270	1942
FGRRES_02521	4863	4591	8364	7882
FGRRES_15146	13	14	39	20
FGRRES_02522	3780	3425	10737	11044
FGRRES_02523	7217	6705	3734	3339
FGRRES_02524	312	326	190	155
FGRRES_02525	109	121	54	41
FGRRES_16010	314	313	147	123
FGRRES_12154	438	358	322	275
FGRRES_02527	1434	1314	858	706
FGRRES_02528	219	253	154	144
FGRRES_02529	384	371	178	160
FGRRES_02530_M	695	718	529	523
FGRRES_02531	2544	2422	1610	1385
FGRRES_12155	3	3	5	6
FGRRES_02532	983	881	547	481
FGRRES_02533	187	146	59	54
FGRRES_02534	225	224	140	159
FGRRES_20076	782	728	429	376
FGRRES_02536	2395	1867	1049	855
FGRRES_12156_M	10	2	2	8
FGRRES_12157_M	3	2	0	0
FGRRES_02537	3	0	2	3
FGRRES_02538	99	91	100	60
FGRRES_15147	6	0	7	4
FGRRES_02539	179	143	81	78
FGRRES_02540	1971	1669	1411	1208
FGRRES_02541	4630	4807	2080	1639
FGRRES_02542_M	5621	5712	2236	1947
FGRRES_02543	577	525	298	276
FGRRES_02544	3481	3705	1425	1247
FGRRES_02545_M	157	164	156	135
FGRRES_02546	893	840	1015	1039
FGRRES_02547	205	154	122	85
FGRRES_16012	3	3	0	1
FGRRES_02549	1181	1032	985	988
FGRRES_16013	93	86	189	167
FGRRES_02552	36	29	30	37
FGRRES_02553	590	567	374	336
FGRRES_12158	3	4	0	0
FGRRES_16014	354	273	300	284
FGRRES_02555_M	1002	1006	521	454
FGRRES_02556	121	99	93	75
FGRRES_02557_M	71	65	50	39
FGRRES_02558	135	102	62	57
FGRRES_16015	2151	2094	1353	1072
FGRRES_02560	708	735	321	282
FGRRES_02561	3796	3653	1034	869
FGRRES_02562	1114	1156	646	597
FGRRES_02563	1445	1598	625	648
FGRRES_02564	1817	1826	9203	9717
FGRRES_02565	930	789	436	354
FGRRES_02566	327	239	240	163
FGRRES_02567	2124	1982	4313	3957
FGRRES_02568	46	39	66	54
FGRRES_02569	14	9	9	6
FGRRES_02570	529	487	313	259
FGRRES_02571	1491	1705	485	450
FGRRES_02572	2222	1759	1700	1413
FGRRES_02573	879	760	520	446
FGRRES_02574	175	175	96	92
FGRRES_02575	2362	2710	958	773
FGRRES_02576	198	146	87	70
FGRRES_02577	2344	2045	1888	1407
FGRRES_02578	12688	14160	53917	51394
FGRRES_02579_M	362	293	187	179
FGRRES_16016	676	606	1253	1293
FGRRES_15148	0	0	0	0
FGRRES_16017	1679	1626	2616	2840
FGRRES_12159	38	30	56	42
FGRRES_15149	7	5	2	3
FGRRES_02582	92	63	33	43
FGRRES_15150	0	0	0	1
FGRRES_16018_M	4	7	14	4
FGRRES_20077	42	39	23	19
FGRRES_02583	97	75	54	45
FGRRES_12161	202	215	90	72
FGRRES_02584	624	645	394	381
FGRRES_15151	6	2	0	5
FGRRES_02585	31479	32997	30500	30677
FGRRES_02586	556	578	604	591
FGRRES_02587_M	199	187	85	50
FGRRES_12162	0	0	3	1
FGRRES_02588	3603	3748	1608	1373
FGRRES_02589	2546	2643	2008	1817
FGRRES_16019	978	855	604	512
FGRRES_16020	846	887	423	374
FGRRES_12163	20	19	7	7
FGRRES_12164	2178	2048	1361	1249
FGRRES_02593	200	206	125	109
FGRRES_02594	385	407	175	144
FGRRES_02595	487	472	307	306
FGRRES_02596	185	226	112	113
FGRRES_02597	79	79	25	20
FGRRES_16021_M	1505	1342	4241	3941
FGRRES_20078	1282	1229	876	761
FGRRES_02598	437	409	236	206
FGRRES_02599	40	41	54	53
FGRRES_02600	751	748	786	785
FGRRES_02601	1788	1611	1447	1348
FGRRES_02602	820	705	531	369
FGRRES_20079	148	147	74	70
FGRRES_16022	2417	2206	1446	1080
FGRRES_02604	906	855	610	578
FGRRES_02605	125	110	47	45
FGRRES_02606	428	451	200	172
FGRRES_02607	586	684	127	132
FGRRES_02608	2816	2393	1745	1395
FGRRES_16023	545	439	271	224
FGRRES_02610	1823	1836	1112	889
FGRRES_02611	1791	1699	1195	1056
FGRRES_12167_8_M	164	184	208	164
FGRRES_02613	58	66	48	41
FGRRES_16024_M	43	40	28	21
FGRRES_02615	144	124	92	83
FGRRES_02616	70	58	26	29
FGRRES_02617	94	69	44	44
FGRRES_02618	2	3	2	2
FGRRES_02619	9	2	1	2
FGRRES_02620_M	41	28	20	28
FGRRES_02621_M	525	411	190	137
FGRRES_02622	747	724	341	293
FGRRES_02623	279	282	160	128
FGRRES_02624	2291	2182	1353	1040
FGRRES_02625	340	305	356	305
FGRRES_15152	2	0	0	1
FGRRES_02626	101	96	46	36
FGRRES_02627_M	113	78	168	144
FGRRES_02628	434	393	563	426
FGRRES_02629	249	179	113	77
FGRRES_02630	388	383	202	167
FGRRES_20080	24	11	18	20
FGRRES_16025	7273	8145	6460	6641
FGRRES_15153	6	12	25	11
FGRRES_12171	11	9	18	27
FGRRES_02632	22	9	12	12
FGRRES_16026	2157	1933	2843	2490
FGRRES_16027	1620	1358	1758	1727
FGRRES_02634	4621	4707	2337	2376
FGRRES_12174	45	50	118	84
FGRRES_02635	2233	2064	1151	1006
FGRRES_02636	128	124	75	61
FGRRES_02637	1975	2139	712	679
FGRRES_02638_M	328	271	306	300
FGRRES_02639	181	183	128	97
FGRRES_02640	2088	2109	1316	1229
FGRRES_02641	2569	2880	708	716
FGRRES_02642_M	87	108	62	54
FGRRES_02643_M	55	62	10	26
FGRRES_02644_M	92	64	51	51
FGRRES_02645	258	238	206	155
FGRRES_02646	1086	1254	945	840
FGRRES_12175	36	16	8	10
FGRRES_15016	201	186	192	185
